INNOSPECTRA_NIR,ARCOPTIX_NIR,WASATCH_NIR,WASATCH_VISNIR
,1273.56,,612.19
,1274.21,,612.52
,1274.86,,612.86
,1275.51,,613.19
,1276.16,,613.52
,1276.81,,613.85
,1277.47,,614.18
,1278.12,,614.51
,1278.77,,614.84
,1279.43,,615.17
,1280.08,,615.5
,1280.74,,615.83
,1281.39,,616.16
,1282.05,,616.49
,1282.71,,616.82
,1283.37,,617.15
,1284.03,,617.48
,1284.69,,617.81
,1285.35,,618.14
,1286.01,,618.47
,1286.67,,618.8
,1287.33,,619.13
,1288.0,,619.46
,1288.66,,619.79
,1289.32,,620.12
,1289.99,,620.45
,1290.66,,620.78
,1291.32,,621.11
,1291.99,,621.44
,1292.66,,621.76
,1293.33,,622.09
,1294.0,,622.42
,1294.67,,622.75
,1295.34,,623.08
,1296.01,,623.41
,1296.68,,623.74
,1297.35,,624.07
,1298.03,,624.4
,1298.7,,624.73
,1299.38,,625.06
,1300.05,,625.39
,1300.73,,625.72
,1301.41,,626.05
,1302.08,,626.38
,1302.76,,626.71
,1303.44,,627.04
,1304.12,,627.37
,1304.8,,627.7
,1305.48,,628.03
,1306.17,,628.36
,1306.85,,628.69
,1307.53,,629.02
,1308.22,,629.35
,1308.9,,629.68
,1309.59,,630.01
,1310.27,,630.34
,1310.96,,630.66
,1311.65,,630.99
,1312.34,,631.32
,1313.03,,631.65
,1313.72,,631.98
,1314.41,,632.31
,1315.1,,632.64
,1315.79,,632.97
,1316.48,,633.3
,1317.18,,633.63
,1317.87,,633.96
,1318.57,,634.29
,1319.26,,634.62
,1319.96,,634.95
,1320.66,,635.27
,1321.35,,635.6
,1322.05,,635.93
,1322.75,,636.26
,1323.45,,636.59
,1324.15,,636.92
,1324.85,,637.25
,1325.56,,637.58
,1326.26,,637.91
,1326.96,,638.24
,1327.67,,638.57
,1328.37,,638.89
,1329.08,,639.22
,1329.79,,639.55
,1330.49,,639.88
,1331.2,,640.21
,1331.91,,640.54
,1332.62,,640.87
,1333.33,,641.2
,1334.04,,641.53
,1334.76,,641.86
,1335.47,,642.18
